GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US420710117041,420710117041,"Block Group 1, Census Tract 117.04, Lancaster County, Pennsylvania",2683,248,2344,259,53,46,0,10,210,154,0,10,47,57,29,36,0,10,29,36
1500000US420710117042,420710117042,"Block Group 2, Census Tract 117.04, Lancaster County, Pennsylvania",1757,196,1633,199,15,18,0,10,109,79,0,10,0,10,0,10,0,10,0,10
1500000US420710117051,420710117051,"Block Group 1, Census Tract 117.05, Lancaster County, Pennsylvania",2100,377,1240,270,367,227,0,10,386,258,0,10,8,51,99,146,0,10,99,146
1500000US420710117052,420710117052,"Block Group 2, Census Tract 117.05, Lancaster County, Pennsylvania",551,200,311,169,198,145,0,10,0,10,0,10,22,36,20,30,0,10,20,30
1500000US420710117053,420710117053,"Block Group 3, Census Tract 117.05, Lancaster County, Pennsylvania",2739,388,2667,380,0,10,0,10,40,71,0,10,0,10,32,38,0,10,32,38
1500000US420710118011,420710118011,"Block Group 1, Census Tract 118.01, Lancaster County, Pennsylvania",854,129,809,123,0,10,0,10,45,67,0,10,0,10,0,10,0,10,0,10
1500000US420710118012,420710118012,"Block Group 2, Census Tract 118.01, Lancaster County, Pennsylvania",2113,204,1908,226,50,48,20,34,33,54,0,10,74,83,28,33,0,10,28,33
1500000US420710118021,420710118021,"Block Group 1, Census Tract 118.02, Lancaster County, Pennsylvania",2424,423,2159,366,66,106,0,10,25,28,0,10,36,47,138,139,0,10,138,139
1500000US420710118022,420710118022,"Block Group 2, Census Tract 118.02, Lancaster County, Pennsylvania",1328,221,1075,236,115,93,0,10,0,10,0,10,105,131,33,55,0,10,33,55
1500000US420710118023,420710118023,"Block Group 3, Census Tract 118.02, Lancaster County, Pennsylvania",1632,318,1601,314,0,10,0,10,22,33,0,10,0,10,9,16,0,10,9,16
1500000US420710118024,420710118024,"Block Group 4, Census Tract 118.02, Lancaster County, Pennsylvania",637,150,536,152,101,155,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1500000US420710118031,420710118031,"Block Group 1, Census Tract 118.03, Lancaster County, Pennsylvania",1653,443,1600,445,24,44,0,10,15,24,0,10,14,24,0,10,0,10,0,10
1500000US420710118032,420710118032,"Block Group 2, Census Tract 118.03, Lancaster County, Pennsylvania",1300,272,1101,258,0,10,0,10,132,101,0,10,35,78,32,50,0,10,32,50
1500000US420710118033,420710118033,"Block Group 3, Census Tract 118.03, Lancaster County, Pennsylvania",1581,303,1433,286,47,80,0,10,101,124,0,10,0,10,0,10,0,10,0,10
1500000US420710118034,420710118034,"Block Group 4, Census Tract 118.03, Lancaster County, Pennsylvania",2127,447,1510,311,98,53,0,10,109,89,0,10,250,366,160,138,7,14,153,136
1500000US420710118041,420710118041,"Block Group 1, Census Tract 118.04, Lancaster County, Pennsylvania",2527,352,2150,318,173,122,0,10,71,81,0,10,20,31,113,85,0,10,113,85
1500000US420710118042,420710118042,"Block Group 2, Census Tract 118.04, Lancaster County, Pennsylvania",787,238,699,235,46,75,0,10,0,10,0,10,0,10,42,50,0,10,42,50
1500000US420710118043,420710118043,"Block Group 3, Census Tract 118.04, Lancaster County, Pennsylvania",910,242,715,211,4,17,0,10,172,192,0,10,0,10,19,60,0,10,19,60
1500000US420710118044,420710118044,"Block Group 4, Census Tract 118.04, Lancaster County, Pennsylvania",2119,449,1573,416,123,161,90,112,190,208,0,10,140,231,3,6,0,10,3,6
1500000US420710118045,420710118045,"Block Group 5, Census Tract 118.04, Lancaster County, Pennsylvania",1924,397,1679,346,0,10,0,10,223,187,0,10,0,10,22,33,0,10,22,33
1500000US420710118051,420710118051,"Block Group 1, Census Tract 118.05, Lancaster County, Pennsylvania",1238,242,1083,259,46,77,0,10,15,23,0,10,0,10,94,82,0,10,94,82
1500000US420710118052,420710118052,"Block Group 2, Census Tract 118.05, Lancaster County, Pennsylvania",1175,233,888,196,0,10,0,10,93,68,0,10,154,100,40,59,0,10,40,59
